amfi_code,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code,source_file,[TRUNCATED_CONTENT_REPLACED_WITH_FULL_FILE_FOR_MOVE],date,aum_lakh_crore,aum_crore,num_schemes,month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct,net_inflow_crore,total_folios_crore,equity_folios_crore,debt_folios_crore,hybrid_folios_crore,others_folios_crore,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,morningstar_rating,risk_grade,investor_id,transaction_date,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,stock_symbol,stock_name,sector,weight_pct,market_value_cr,current_price_inr,portfolio_date,index_name,close_value,nav
120844.0,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2004-03-03,CRISIL Liquid Fund AI Index,0.6,0.0,500.0,5000.0,Deepak Agrawal,Low,DC01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119092.0,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2010-01-05,NIFTY 100 TRI,1.64,1.0,500.0,1000.0,Shreyash Devalkar,Moderate,EC01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119093.0,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.75,1.0,500.0,1000.0,Shreyash Devalkar,Moderate,EC01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119094.0,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2011-02-18,NIFTY Midcap 50 TRI,1.38,1.0,500.0,1000.0,Jinesh Gopani,High,EC02,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119095.0,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2013-11-29,BSE 250 SmallCap TRI,1.38,1.0,500.0,1000.0,Anupam Tiwari,Very High,EC03,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101206.0,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,2002-08-30,NIFTY 100 TRI,1.6,1.0,500.0,1000.0,Mahesh Patil,Moderate,EC01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101207.0,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2007-05-31,BSE 250 SmallCap TRI,1.53,1.0,500.0,1000.0,Mircea Ciobanu,Very High,EC03,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101208.0,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2000-04-17,CRISIL Liquid Fund AI Index,0.79,0.0,500.0,5000.0,Maneesh Dangi,Low,DC01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102885.0,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,2000-03-06,NIFTY 50 TRI,1.57,0.0,500.0,1000.0,Sharwan Kumar Goyal,Moderate,EI01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102886.0,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,2004-04-07,NIFTY Midcap 150 TRI,1.51,1.0,500.0,1000.0,V Srivatsa,High,EC02,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102887.0,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,2005-05-18,NIFTY 500 TRI,1.64,1.0,500.0,1000.0,Ajay Tyagi,Moderately High,EC04,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148567.0,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,2008-04-04,NIFTY 100 TRI,1.46,1.0,500.0,1000.0,Gaurav Misra,Moderate,EC01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148568.0,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Regular,2010-07-09,NIFTY Large Midcap 250 TRI,1.52,1.0,500.0,1000.0,Neelesh Surana,Moderately High,EC04,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148569.0,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,Regular,2015-12-28,NIFTY 500 TRI,1.6,1.0,500.0,1000.0,Neelesh Surana,High,EC05,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149322.0,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Regular,2003-03-10,NIFTY 100 TRI,1.54,1.0,500.0,1000.0,Apoorva Shah,Moderate,EC01,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149323.0,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2006-11-16,NIFTY Midcap 150 TRI,1.61,1.0,500.0,1000.0,Vinit Sambre,High,EC02,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149324.0,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2007-06-14,BSE 250 SmallCap TRI,1.52,1.0,500.0,1000.0,Vinit Sambre,Very High,EC03,01_fund_master.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,6.05,605000.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,4.65,465000.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HDFC Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,4.35,435000.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,2.7,270000.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kotak Mahindra MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,2.7,270000.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aditya Birla Sun Life MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,2.78,278000.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axis Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,2.5,250000.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,2.3,230000.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mirae Asset MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,1.05,105000.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSP Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-03-31,1.1,110000.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,6.3,630000.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,4.88,488000.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HDFC Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,4.45,445000.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,2.78,278000.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kotak Mahindra MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,2.72,272000.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aditya Birla Sun Life MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,2.85,285000.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axis Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,2.4,240000.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,2.32,232000.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mirae Asset MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,1.08,108000.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSP Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2022-09-30,1.12,112000.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,7.17,717000.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,5.0,500000.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HDFC Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,4.5,450000.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,2.93,293000.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kotak Mahindra MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,2.89,289000.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aditya Birla Sun Life MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,2.75,275000.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axis Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,2.41,241000.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,2.39,239000.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mirae Asset MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,1.16,116000.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSP Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-03-31,1.15,115000.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,8.45,845000.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,5.9,590000.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HDFC Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,5.35,535000.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,3.4,340000.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kotak Mahindra MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,3.25,325000.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aditya Birla Sun Life MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,3.08,308000.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axis Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,2.6,260000.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,2.65,265000.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mirae Asset MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,1.42,142000.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSP Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2023-09-30,1.32,132000.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,10.0,1000000.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,6.8,680000.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HDFC Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,6.45,645000.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,4.3,430000.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kotak Mahindra MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,3.8,380000.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aditya Birla Sun Life MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,3.4,340000.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axis Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,2.8,280000.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,2.9,290000.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mirae Asset MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,1.75,175000.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSP Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-03-31,1.55,155000.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,10.8,1080000.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,7.42,742000.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HDFC Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,7.1,710000.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,4.68,468000.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kotak Mahindra MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,4.05,405000.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aditya Birla Sun Life MF,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,3.62,362000.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axis Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,2.9,290000.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTI Mutual Fund,,,,,,,,,,,,,,03_aum_by_fund_house.csv,,2024-09-30,3.08,308000.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
