,amfi_code,scheme_name,fund_house,category,return_3yr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,r3yr_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,Scorecard
11,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,1.52,1.6,0.77,-2.3,5.128205128205128,89.74358974358975,69.23076923076923,79.48717948717949,97.43589743589743,59.49
12,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,0.95,0.89,1.36,-21.84,82.05128205128204,58.97435897435898,26.923076923076923,64.1025641025641,43.58974358974359,58.72
13,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,0.87,0.95,1.38,-13.67,76.92307692307693,28.205128205128204,35.8974358974359,58.97435897435898,76.92307692307693,53.85
14,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,5.14,1.18,0.79,-3.66,0.0,94.87179487179486,48.717948717948715,74.35897435897436,92.3076923076923,53.85
15,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,1.33,0.89,0.55,-2.23,2.564102564102564,87.17948717948718,26.923076923076923,100.0,100.0,52.95
16,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,1.03,0.88,0.8,-26.59,51.28205128205128,79.48717948717949,23.076923076923077,71.7948717948718,20.51282051282051,52.69
17,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,0.88,1.7,0.72,-18.14,33.33333333333333,34.61538461538461,75.64102564102564,88.46153846153845,53.84615384615385,52.44
18,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,0.98,1.34,1.6,-15.07,46.15384615384615,71.7948717948718,56.41025641025641,8.974358974358974,71.7948717948718,51.6
19,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,1.06,0.78,1.55,-17.41,61.53846153846154,83.33333333333334,12.82051282051282,20.51282051282051,58.97435897435898,50.83
20,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,1.0,0.86,1.51,-16.07,48.717948717948715,76.92307692307693,17.94871794871795,39.743589743589745,69.23076923076923,50.32
21,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,0.92,1.82,1.54,-21.7,38.46153846153847,48.717948717948715,87.17948717948718,24.358974358974358,47.43589743589743,49.55
22,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,0.84,0.51,1.38,-14.45,92.3076923076923,20.51282051282051,0.0,58.97435897435898,74.35897435897436,49.1
23,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,0.98,0.55,1.41,-21.89,56.41025641025641,71.7948717948718,5.128205128205128,53.84615384615385,41.02564102564102,48.08
24,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,0.91,1.7,1.52,-33.15,53.84615384615385,44.871794871794876,75.64102564102564,34.61538461538461,2.564102564102564,47.95
25,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,0.82,1.12,1.51,-13.43,71.7948717948718,16.666666666666664,41.02564102564102,39.743589743589745,79.48717948717949,47.82
26,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,0.96,1.13,0.92,-33.5,41.02564102564102,64.1025641025641,44.871794871794876,66.66666666666666,0.0,47.31
27,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,0.87,1.43,0.75,-17.4,28.205128205128204,28.205128205128204,64.1025641025641,82.05128205128204,61.53846153846154,46.79
28,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,0.91,1.8,0.89,-26.75,20.51282051282051,44.871794871794876,84.61538461538461,69.23076923076923,17.94871794871795,46.47
29,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,0.9,1.02,1.61,-26.99,79.48717948717949,39.743589743589745,38.46153846153847,5.128205128205128,15.384615384615385,43.78
30,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,0.8,1.42,1.38,-32.38,64.1025641025641,3.8461538461538463,61.53846153846154,58.97435897435898,5.128205128205128,41.86
31,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,0.8,0.69,1.52,-17.01,87.17948717948718,3.8461538461538463,10.256410256410255,34.61538461538461,66.66666666666666,41.03
32,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,0.81,1.78,0.66,-24.43,15.384615384615385,11.538461538461538,79.48717948717949,92.3076923076923,28.205128205128204,40.06
33,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,0.8,0.9,0.78,-32.22,66.66666666666666,3.8461538461538463,30.76923076923077,76.92307692307693,7.6923076923076925,39.42
34,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,0.81,0.8,1.53,-30.87,89.74358974358975,11.538461538461538,15.384615384615385,29.48717948717949,10.256410256410255,38.33
35,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,12.25,0.87,1.27,1.59,-17.86,30.76923076923077,28.205128205128204,53.84615384615385,12.82051282051282,56.41025641025641,34.62
36,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,0.93,0.93,1.57,-24.42,25.64102564102564,52.56410256410257,33.33333333333333,15.384615384615385,30.76923076923077,32.88
37,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,0.88,0.87,1.54,-21.7,35.8974358974359,34.61538461538461,20.51282051282051,24.358974358974358,47.43589743589743,31.92
38,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.84,0.85,1.41,1.64,-27.54,23.076923076923077,23.076923076923077,58.97435897435898,1.282051282051282,12.82051282051282,25.96
39,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,0.82,0.66,1.42,-25.91,17.94871794871795,16.666666666666664,7.6923076923076925,51.28205128205128,23.076923076923077,21.09
40,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,0.8,0.54,1.6,-22.62,43.58974358974359,3.8461538461538463,2.564102564102564,8.974358974358974,35.8974358974359,19.49
